Tips breakdown for: ✪mane gamdom.com
User ID    -> Tip Amount
 1844621   -> 350000
 3175232   -> 237000
 1812540   -> 177588
 1352616   -> 153251
 1614004   -> 117500
 209188    -> 100000
 1919380   -> 90000
 211875    -> 56750
 1227550   -> 43501
 35401     -> 36330
 765563    -> 34500
 2852473   -> 22750
 1834468   -> 20000
 3033819   -> 18500
 818000    -> 16250
 1442536   -> 15500
 1433245   -> 14300
 170786    -> 12322
 143368    -> 11819
 1064388   -> 11721
 568665    -> 11250
 2344125   -> 10750
 743026    -> 10250
 2369915   -> 10000
 456238    -> 9500
 264693    -> 9000
 1245852   -> 8875
 927514    -> 8750
 120036    -> 8250
 2284190   -> 8000
 183495    -> 8000
 500450    -> 7375
 421428    -> 7375
 87199     -> 6875
 2623957   -> 6875
 874022    -> 6770
 48205     -> 6750
 1237964   -> 6500
 60270     -> 6500
 220013    -> 6250
 132308    -> 6250
 1165571   -> 5750
 199325    -> 5125
 1037442   -> 5000
 1200347   -> 5000
 562922    -> 4752
 790528    -> 4500
 1532707   -> 4500
 2382591   -> 4000
 3215660   -> 4000
 158170    -> 3750
 255678    -> 3500
 956067    -> 3500
 161557    -> 3250
 660006    -> 3250
 1326973   -> 3250
 7360      -> 3250
 18722     -> 3204
 3169700   -> 3085
 1084661   -> 3001
 2205718   -> 3000
 946677    -> 3000
 222966    -> 3000
 3290535   -> 3000
 15094     -> 2833
 946950    -> 2750
 1451364   -> 2500
 730188    -> 2500
 293868    -> 2500
 30071     -> 2500
 130644    -> 2500
 1597649   -> 2500
 532912    -> 2500
 950450    -> 2250
 422772    -> 2250
 2978      -> 2170
 728       -> 2000
 1744854   -> 2000
 17136     -> 2000
 2211135   -> 2000
 1018453   -> 2000
 2086126   -> 2000
 263393    -> 2000
 1034692   -> 2000
 3196464   -> 2000
 16212     -> 1875
 300697    -> 1750
 1019060   -> 1750
 326779    -> 1750
 1110156   -> 1750
 1538793   -> 1583
 374864    -> 1500
 1043910   -> 1500
 3269094   -> 1500
 208120    -> 1500
 901828    -> 1500
 3214692   -> 1500
 1280501   -> 1500
 1211963   -> 1500
 679950    -> 1500
 450325    -> 1500
 1018559   -> 1440
 1467741   -> 1375
 29098     -> 1250
 2825240   -> 1250
 1649566   -> 1250
 3211946   -> 1250
 119951    -> 1250
 1399850   -> 1250
 93870     -> 1250
 557       -> 1250
 342097    -> 1250
 1273458   -> 1250
 2330727   -> 1250
 687266    -> 1125
 191945    -> 1050
 1197389   -> 1001
 581622    -> 1000
 3267939   -> 1000
 1067284   -> 1000
 3131185   -> 1000
 1574831   -> 1000
 131472    -> 1000
 1236248   -> 1000
 3350407   -> 1000
 930995    -> 1000
 660316    -> 1000
 2195876   -> 1000
 3140284   -> 1000
 33483     -> 1000
 741886    -> 1000
 1705412   -> 1000
 674885    -> 1000
 312534    -> 1000
 262664    -> 750
 1162770   -> 750
 2448160   -> 750
 19884     -> 750
 755627    -> 750
 2908256   -> 750
 2901279   -> 750
 228381    -> 750
 1717007   -> 750
 1419289   -> 750
 988969    -> 750
 268305    -> 500
 121488    -> 500
 4546      -> 500
 765216    -> 500
 303674    -> 500
 28047     -> 500
 1615598   -> 500
 185200    -> 500
 34897     -> 500
 3011186   -> 500
 1553792   -> 500
 1591196   -> 500
 3095851   -> 500
 2204066   -> 500
 750008    -> 500
 244892    -> 500
 135880    -> 500
 2972279   -> 500
 2788898   -> 500
 3202570   -> 500
 2252687   -> 500
 313668    -> 500
 538929    -> 500
 69700     -> 500
 1557152   -> 500
 859542    -> 500
 34489     -> 500
 1780907   -> 500
 3167578   -> 500
 1065221   -> 500
 2377233   -> 500
 238064    -> 500
 3248579   -> 500
 650747    -> 500
 3327723   -> 500
 137596    -> 500
 3310983   -> 500
 1155821   -> 500
 3023016   -> 500
 2721400   -> 500
 1955942   -> 500
 938742    -> 500
 267158    -> 500
 989447    -> 500
 1245265   -> 500
 2931361   -> 500
 222060    -> 500
 715336    -> 500
 348659    -> 500
 13368     -> 500
 3328846   -> 500
 1486929   -> 500
 338554    -> 500
 1173479   -> 375
 351695    -> 375
 1512254   -> 375
 1384570   -> 375
 1158730   -> 375
 3331961   -> 251
 482720    -> 250
 1407313   -> 250
 278781    -> 250
 13860     -> 250
 846274    -> 250
 2533079   -> 250
 8253      -> 250
 1782454   -> 250
 3261431   -> 250
 164429    -> 250
 858981    -> 250
 378908    -> 250
 969950    -> 250
 111830    -> 250
 1484983   -> 250
 665410    -> 250
 3095465   -> 250
 480231    -> 250
 1129455   -> 250
 806552    -> 250
 1430206   -> 250
 2061615   -> 250
 3100353   -> 250
 1470333   -> 250
 2438029   -> 250
 230057    -> 250
 1325896   -> 250
 581509    -> 250
 332734    -> 250
 3348236   -> 250
 215781    -> 250
 347486    -> 250
 399289    -> 250
 138206    -> 250
 1010064   -> 250
 496604    -> 250
 1295709   -> 250
 101663    -> 250
 3145576   -> 250
 542266    -> 250
 3215024   -> 250
 84862     -> 250
 1410973   -> 250
 3269461   -> 250
 2147114   -> 250
 808747    -> 250
 188327    -> 250
 1239964   -> 250
 1506      -> 250
 3059191   -> 250
 502946    -> 250
 1557874   -> 250
 399915    -> 250
 378255    -> 250
 1436888   -> 66
 1704293   -> 21
 610459    -> 7
 1522819   -> 3
 806919    -> 1
 129096    -> 1
 186657    -> 1
 80751     -> 1
 131836    -> 1
 1391616   -> 1
